name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Salmonella enterica subsp. enterica serovar Panama str. ATCC 7378	leaf	4555576	2	0	0
Blastococcus saxobsidens DD2	leaf	4875340	2	1	0
Rahnella aquatilis HX2	leaf	5656799	2	0	0
Stenotrophomonas maltophilia D457	leaf	4769156	2	0	0
Enterobacter sp. R4-368	species	5155034	2	0	0
Saccharothrix espanaensis DSM 44229	leaf	9360653	2	1	0
Pseudomonas putida SJTE-1	leaf	6077201	2	0	0
Salmonella bongori N268-08	leaf	4773537	2	0	0
Mycobacterium haemophilum DSM 44634	leaf	4235765	2	2	0
Clostridium bornimense	species	3617025	2	0	0
Corynebacterium humireducens NBRC 106098 = DSM 45392	leaf	2681312	2	0	0
Carnobacterium maltaromaticum LMA28	leaf	3650416	2	2	0
Cupriavidus gilardii CR3	leaf	5578743	2	0	0
Pseudomonas sp. URMO17WK12:I11	species	11209782	2	1	0
Roseibacterium elongatum DSM 19469	leaf	3555109	2	1	0
Streptomyces fulvissimus DSM 40593	leaf	7905758	2	2	0
Mycobacterium tuberculosis str. Beijing/NITR203	leaf	4411128	2	0	0
Paraburkholderia caribensis MBA4	leaf	9482704	2	1	0
Serratia liquefaciens ATCC 27592	leaf	5282719	2	2	0
Mycobacterium vaccae 95051	leaf	6235754	2	2	0
Salmonella bongori serovar 48:z41:-- str. RKS3044	leaf	4394500	2	0	0
Cupriavidus sp. USMAHM13	species	7820821	2	0	0
Rhodococcus pyridinivorans SB3094	leaf	5590512	2	0	0
Hymenobacter sp. PAMC 26628	species	5366977	2	2	0
Planococcus sp. PAMC 21323	species	3199864	2	2	0
Lactobacillus sp. wkB8	species	1932531	2	0	0
Mycobacterium sp. EPa45	species	6177406	2	2	0
Sphingomonas panacis	species	5322941	2	1	0
Dermabacter vaginalis	species	2392314	2	0	0
Devosia sp. H5989	species	4594249	2	2	0
Mycobacterium phage Phayonce	species	49203	2	1	0
Streptomyces sp. CFMR 7	species	8307279	2	1	0
Pseudonocardia sp. HH130630-07	species	6680451	2	2	0
Faecalibaculum rodentium	species	2542486	2	2	0
Massilia sp. WG5	species	6267305	2	1	0
Streptomyces sp. CdTB01	species	10191567	2	1	0
Burkholderia sp. Bp5365	species	7287809	2	0	0
Nostoc sp. NIES-3756	species	6987571	2	1	0
Streptomyces sp. 4F	species	8047771	2	2	0
Serinicoccus sp. JLT9	species	3597394	2	1	0
Hydrogenophaga sp. LPB0072	species	4944132	2	2	0
Streptomyces sp. RTd22	species	11142275	2	1	0
Rhodobacter sp. LPB0142	species	3780829	2	0	0
Archangium gephyra	species	12489432	1	1	0
Caulobacter	genus	4238499	1	0	0
Azospirillum brasilense	species	13978806	1	1	0
Pseudomonas fragi	species	5101809	1	0	0
Pseudomonas pseudoalcaligenes	species	4686340	1	0	0
Bradyrhizobium japonicum	species	9207384	1	0	0
Acetobacter	genus	3251215	1	0	0
Gluconobacter oxydans	species	3207017	1	0	0
Legionella pneumophila	species	6459328	1	0	0
Tatlockia micdadei	species	3310028	1	1	0
Bordetella bronchiseptica	species	5231793	1	0	0
Bordetella parapertussis	species	4836562	1	0	0
Erwinia amylovora	species	3869718	1	0	0
Pantoea ananatis	species	4838981	1	0	0
Escherichia coli	species	7253110	1	0	0
Serratia liquefaciens	species	5282719	1	0	0
Aeromonas veronii	species	4551783	1	0	0
Vibrio alginolyticus	species	5146637	1	0	0
Vibrio mimicus	species	8922704	1	0	0
Vibrio campbellii	species	12090206	1	0	0
Vibrio natriegens	species	5168686	1	1	0
Rickettsia rickettsii	species	1265141	1	0	0
Bacteroides thetaiotaomicron	species	6293399	1	0	0
Herbaspirillum	genus	5363540	1	0	0
Cellulophaga lytica	species	3765936	1	0	0
Porphyrobacter neustonensis	species	3090363	1	0	0
Synechococcus	genus	2719262	1	0	0
Synechocystis sp. PCC 6803	species	3570073	1	0	0
Proteobacteria	phylum	4746951	1	0	0
Micrococcaceae	family	3531727	1	0	0
Staphylococcus haemolyticus	species	2697861	1	0	0
Staphylococcus xylosus	species	8411206	1	0	0
Staphylococcus schleiferi	species	12494798	1	0	0
Enterococcus faecalis	species	2996992	1	1	0
Bacillus anthracis	species	5935455	1	0	0
Clostridium formicaceticum	species	4586755	1	1	0
Acetoanaerobium sticklandii	species	2715461	1	1	0
Actinomyces	genus	0	1	0	0
Bifidobacterium bifidum	species	2209060	1	0	0
Bifidobacterium angulatum	species	2021974	1	0	0
Bifidobacterium breve	species	2317134	1	0	0
Corynebacterium stationis	species	2853666	1	1	0
Acidipropionibacterium acidipropionici	species	3656170	1	1	0
Actinobacteria	class	4559667	1	0	0
Mycobacterium phlei	species	5349645	1	0	0
Mycobacterium smegmatis	species	20964686	1	1	0
Streptomyces glaucescens	species	7623774	1	1	0
Nocardiopsis dassonvillei	species	6543312	1	0	0
Pimelobacter simplex	species	5637360	1	1	0
Pseudonocardiaceae	family	9499602	1	0	0
Mycoplasma capricolum	species	1523824	1	1	0
Methanobacteriaceae	family	1989655	1	0	0
Archaeoglobales	order	2038875	1	0	0
Thermococcaceae	family	1917634	1	0	0
Thermofilum	genus	1783791	1	0	0
Desulfurococcaceae	family	1398157	1	0	0
Desulfurococcus	genus	1354659	1	0	0
Homo	genus	0	1	0	0
Human papillomavirus type 7	leaf	8027	1	1	0
Dactylococcopsis salina PCC 8305	leaf	3781008	1	1	0
Sphingomonas	genus	5564099	1	0	0
Burkholderia gladioli	species	9052299	1	1	0
Betaproteobacteria	class	5455291	1	1	0
Euryarchaeota	phylum	2859762	1	0	0
Clavibacter michiganensis subsp. insidiosus	subspecies	3408062	1	0	0
Sphingopyxis macrogoltabida	species	16800329	1	0	0
Rathayibacter tritici	species	3354681	1	1	0
Gluconacetobacter diazotrophicus	species	7914538	1	0	0
Corynebacterium kutscheri	species	2354065	1	1	0
Stenotrophomonas	genus	4684682	1	0	0
Actinosynnema mirum	species	8248144	1	0	0
Mammalia	class	0	1	0	0
Brevundimonas	genus	3445263	1	0	0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	leaf	4600800	1	0	0
Nitrospira moscoviensis	species	4589485	1	1	0
Pseudomonas azotoformans	species	6859618	1	0	0
Pseudomonas corrugata	species	6124363	1	0	0
Acinetobacter pittii	species	3862530	1	1	0
Novosphingobium aromaticivorans	species	4233314	1	0	0
Raoultella ornithinolytica	species	5398151	1	0	0
Thermococcus barophilus	species	2064237	1	1	0
Thermus brockianus	species	2388273	1	1	0
Cyanobium gracile	species	3342364	1	0	0
Phaeobacter gallaeciensis	species	4540155	1	1	0
Mitsuaria	genus	0	1	0	0
Halothece sp. PCC 7418	species	4179170	1	1	0
Bacillus clausii KSM-K16	leaf	4303871	1	1	0
Citrobacter rodentium	species	5444283	1	0	0
Streptomyces pactum	species	8180260	1	0	0
Mesorhizobium	genus	7011064	1	0	0
Streptomyces albulus	species	9784577	1	0	0
Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	species	131160	1	1	0
Pseudomonas putida GB-1	leaf	6078430	1	1	0
Xanthobacter autotrophicus Py2	leaf	5625098	1	1	0
Burkholderiales	order	6491917	1	1	0
Aliivibrio wodanis	species	4635126	1	1	0
